subj,numb,numb corrected,crse,looks good,numb new,comments
acct,,,acct,unfixable,,unfixable
acct,1301,1301,acct1301,TRUE,1301,
acct,2301,2301,acct2301,TRUE,2301,
acct,2302,2302,acct2302,TRUE,2302,
acct,2302-530,2302-530,acct2302,TRUE,2302,
acct,3300,3300,acct3300,TRUE,3300,
acct,3301,3301,acct3301,TRUE,3301,
acct,3302,3302,acct3302,TRUE,3302,
acct,3303,3303,acct3303,TRUE,3303,
acct,3304,3304,acct3304,TRUE,3304,
acct,4301,4301,acct4301,TRUE,4301,
acct,4315,4315,acct4315,TRUE,4315,
acct,4323,4323,acct4323,TRUE,4323,
acct,4324,4324,acct4324,TRUE,4324,
acct,coba 5101,5101,acct5101,TRUE,5101,
acct,principles of acc,2301,acct2301,TRUE,2301,
acct,principles of acc 2-man,2302,acct2302,TRUE,2302,
acct,principles of accounting managerial 2302-020,2302,acct2302,TRUE,2302,
acom,,,acom,unfixable,,unfixable
acom,2301,2301,acom2301,TRUE,2301,
acom,2307,2307,acom2307,TRUE,2307,
acrs,5330,5330,acrs5330,TRUE,5330,
adri,,,adri,unfixable,,unfixable
aest,17871,17871,aest1787,TRUE,1787,
agec,,,agec,unfixable,,unfixable
agec,2317,2317,agec2317,TRUE,2317,
agec,2317-020,2317,agec2317,TRUE,2317,
agec,4306,4306,agec4306,TRUE,4306,
agec,4333,4333,agec4333,TRUE,4333,
agec,a,a,ageca,unfixable,,unfixable
agri,,,agri,unfixable,,unfixable
agri,1100,1100,agri1100,TRUE,1100,
agri,1307,1307,agri1307,TRUE,1307,
agri,3408,3408,agri3408,TRUE,3408,
agri,3409,3409,agri3409,TRUE,3409,
agsd,,,agsd,unfixable,,unfixable
agsd,2306,2306,agsd2306,TRUE,2306,
agsd,2307,2307,agsd2307,TRUE,2307,
agsd,3302,3302,agsd3302,TRUE,3302,
agsd,3302-010,3302,agsd3302,TRUE,3302,
agsd,3307,3307,agsd3307,TRUE,3307,
agsd,az,az,agsdaz,unfixable,,unfixable
ansc,,,ansc,unfixable,,unfixable
ansc,1100,1100,ansc1100,TRUE,1100,
ansc,1119,1119,ansc1119,TRUE,1119,
ansc,1119-530,1119,ansc1119,TRUE,1119,
ansc,1309,1309,ansc1309,TRUE,1309,
ansc,1309-510,1309,ansc1309,TRUE,1309,
ansc,1319,1319,ansc1319,TRUE,1319,
ansc,20727,,ansc,unfixable,,unfixable
ansc,2101,2101,ansc2101,TRUE,2101,
ansc,2305,2305,ansc2305,TRUE,2305,
ansc,2450,2450,ansc2450,TRUE,2450,
ansc,2450-510,2450,ansc2450,TRUE,2450,
ansc,25881,,ansc,unfixable,,unfixable
ansc,3303,3303,ansc3303,TRUE,3303,
ansc,3304,3304,ansc3304,TRUE,3304,
ansc,3308,3308,ansc3308,TRUE,3308,
ansc,3309,3309,ansc3309,TRUE,3309,
ansc,3319,3319,ansc3319,TRUE,3319,
ansc,3319-520,3319,ansc3319,TRUE,3319,
ansc,3340-010,3340,ansc3340,TRUE,3340,
ansc,3408,3408,ansc3408,TRUE,3408,
ansc,3408-540,3408,ansc3408,TRUE,3408,
ansc,3408-560,3408,ansc3408,TRUE,3408,
ansc,3409,3409,ansc3409,TRUE,3409,
ansc,3421,3421,ansc3421,TRUE,3421,
ansc,3421-560,3421,ansc3421,TRUE,3421,
ansc,4185,4185,ansc4185,TRUE,4185,
ansc,4300,4300,ansc4300,TRUE,4300,
ansc,4302,4302,ansc4302,TRUE,4302,
ansc,4303,4303,ansc4303,TRUE,4303,
ansc,4308,4308,ansc4308,TRUE,4308,
ansc,4390,4390,ansc4390,TRUE,4390,
ansc,d,d,anscd,unfixable,,unfixable
anth,,,anth,unfixable,,unfixable
arts,,,arts,unfixable,,unfixable
arts,1301,1301,arts1301,TRUE,1301,
arts,1301-050,1301-050,arts1301,TRUE,1301,
arts,1302,1302,arts1302,TRUE,1302,
arts,1304,1304,arts1304,TRUE,1304,
arts,1311,1311,arts1311,TRUE,1311,
arts,1317,1317,arts1317,TRUE,1317,
arts,3332,3332,arts3332,TRUE,3332,
arts,3362,3362,arts3362,TRUE,3362,
arts,3383,3383,arts3383,TRUE,3383,
arts,4367,4367,arts4367,TRUE,4367,
atrn,,,atrn,unfixable,,unfixable
bana,,,bana,unfixable,,unfixable
bcis,,,bcis,unfixable,,unfixable
bcis,1301,1301,bcis1301,TRUE,1301,
bcis,1301020,1301020,bcis1301,TRUE,1301,
bcis,1305,1305,bcis1305,TRUE,1305,
bcis,1305-010,1305-010,bcis1305,TRUE,1305,
bcis,1305-060,1305-060,bcis1305,TRUE,1305,
bcis,1305-101,1305-101,bcis1305,TRUE,1305,
bcis,2301,2301,bcis2301,TRUE,2301,
bcis,2301010,2301010,bcis2301,TRUE,2301,
bcis,3305,3305,bcis3305,TRUE,3305,
bcis,3315,3315,bcis3315,TRUE,3315,
bcis,3333,3333,bcis3333,TRUE,3333,
bcis,3347,3347,bcis3347,TRUE,3347,
bcis,3350,3350,bcis3350,TRUE,3350,
bcis,4350,4350,bcis4350,TRUE,4350,
bcis,5307,5307,bcis5307,TRUE,5307,
bcis,5316,5316,bcis5316,TRUE,5316,
bcis,business computer applications,1305,bcis1305,TRUE,1305,
bcis,management information systems,4350,bcis4350,TRUE,4350,
biol,,,biol,unfixable,,unfixable
biol,1185,1185,biol1185,TRUE,1185,
biol,1185-010,1185-010,biol1185,TRUE,1185,
biol,1302,1302,biol1302,TRUE,1302,
biol,1406,1406,biol1406,TRUE,1406,
biol,1406-010,1406-010,biol1406,TRUE,1406,
biol,1406-020,1406-020,biol1406,TRUE,1406,
biol,1406-520,1406-520,biol1406,TRUE,1406,
biol,1406-580,1406-580,biol1406,TRUE,1406,
biol,1407,1407,biol1407,TRUE,1407,
biol,1407 lab,1407 lab,biol1407,TRUE,1407,
biol,1407-010,1407-010,biol1407,TRUE,1407,
biol,1407-030,1407-030,biol1407,TRUE,1407,
biol,1407-520,1407-520,biol1407,TRUE,1407,
biol,1407-530,1407-530,biol1407,TRUE,1407,
biol,1407-580,1407-580,biol1407,TRUE,1407,
biol,20,20,biol20,unfixable,,unfixable
biol,22195,22195,biol2219,TRUE,2219,
biol,2300,2300,biol2300,TRUE,2300,
biol,2401,2401,biol2401,TRUE,2401,
biol,2401-010,2401-010,biol2401,TRUE,2401,
biol,2401-520,2401-520,biol2401,TRUE,2401,
biol,2401-560,2401-560,biol2401,TRUE,2401,
biol,2401-570,2401-570,biol2401,TRUE,2401,
biol,2402,2402,biol2402,TRUE,2402,
biol,2402-030,2402-030,biol2402,TRUE,2402,
biol,2402-530,2402-530,biol2402,TRUE,2402,
biol,3303,3303,biol3303,TRUE,3303,
biol,3340,3340,biol3340,TRUE,3340,
biol,3353,3353,biol3353,TRUE,3353,
biol,3406,3406,biol3406,TRUE,3406,
biol,3407,3407,biol3407,TRUE,3407,
biol,4350,4350,biol4350,TRUE,4350,
biol,4374,4374,biol4374,TRUE,4374,
biol,4398,4398,biol4398,TRUE,4398,
biol,4430,4430,biol4430,TRUE,4430,
biol,4462,4462,biol4462,TRUE,4462,
biol,520,520,biol520,unfixable,,unfixable
biol,cell biology,2300,biol2300,TRUE,2300,
biol,class,class,biolclas,unfixable,,unfixable
blaw,,,blaw,unfixable,,unfixable
blaw,2301,2301,blaw2301,TRUE,2301,
blaw,4333,4333,blaw4333,TRUE,4333,
blaw,4334,4334,blaw4334,TRUE,4334,
blaw,business law,2301,blaw2301,TRUE,2301,
busi,,,busi,unfixable,,unfixable
busi,1301,1301,busi1301,TRUE,1301,
busi,1305-050,1305-050,busi1305,TRUE,1305,
busi,1307,1307,busi1307,TRUE,1307,
busi,1405,1405,busi1405,TRUE,1405,
busi,2301,2301,busi2301,TRUE,2301,
busi,2301-010,2301-010,busi2301,TRUE,2301,
busi,2301-041,2301-041,busi2301,TRUE,2301,
busi,2305,2305,busi2305,TRUE,2305,
busi,3312,3312,busi3312,TRUE,3312,
busi,3312-020,3312-020,busi3312,TRUE,3312,
busi,3389,3389,busi3389,TRUE,3389,
busi,4301,4301,busi4301,TRUE,4301,
busi,4344,4344,busi4344,TRUE,4344,
busi,4350,4350,busi4350,TRUE,4350,
busi,4359,4359,busi4359,TRUE,4359,
busi,4359-031,4359-031,busi4359,TRUE,4359,
busi,5368,5368,busi5368,TRUE,5368,
busi,bcis,bcis,busibcis,unfixable,,unfixable
busi,business communication,3312,busi3312,TRUE,3312,
busi,business law,2301,busi2301,TRUE,2301,
busi,business law 2301-010,2301,busi2301,TRUE,2301,
busi,macro,2301,busi2301,TRUE,2301,
busi,marketing,marketing,busimark,unfixable,,unfixable
chem,,,chem,unfixable,,unfixable
chem,1111,1111,chem1111,TRUE,1111,
chem,1111-550,1111-550,chem1111,TRUE,1111,
chem,1112,1112,chem1112,TRUE,1112,
chem,1112-570,1112-570,chem1112,TRUE,1112,
chem,1301,1301,chem1301,TRUE,1301,
chem,1301-lab,1301-lab,chem1301,TRUE,1301,
chem,1311,1311,chem1311,TRUE,1311,
chem,1311-010,1311-010,chem1311,TRUE,1311,
