id,date,duration,progress,class,campus,internet,first,today,spend,num_crse_reported_pay,num_crse_reported,num_crse_details_pay,num_crse_details,num_crse_pay,num_crse,spend_per_crse_pay,spend_per_crse,pct_crse_pay,campus_bryan,campus_dist,campus_ftw,campus_steph,campus_waco,electronics_desktop,electronics_laptop,electronics_smartphone,electronics_tablet,sources_campus_bookstore,sources_different_edition,sources_from_instructor,sources_online,sources_other,sources_sharing_/_borrowing,why_cost,why_course_changes,why_delayed_order,why_didn't_know_what_materials_are_required,why_didn't_think_i_would_need_them_on_the_first_day,why_other_(please_specify),why_waiting_for_scholarships/financial_aid
r_10dx0r0i5ni8x6w,2024-01-29 15:42:25,397,100,1_fr,steph,1_yes_internet,2_most_first,3_all_today,306,4,5,,5,4,5,76,61,80,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False
r_10jjnccyuqi43g9,2024-01-29 10:45:41,309,100,0_other,ftw,1_yes_internet,1_some_first,3_all_today,40,2,2,,2,2,2,20,20,100,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False
r_10mvgmc4axiwdtj,2024-01-31 16:14:35,84,48,3_jr,steph,1_yes_internet,1_some_first,3_all_today,253,5,5,,,5,5,51,51,100,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False
r_10pavmks1rxscmf,2024-01-23 21:16:01,348,100,3_jr,steph,1_yes_internet,2_most_first,3_all_today,251,4,4,,4,4,4,63,63,100,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False
r_10r9cskmustsigg,2024-01-25 13:51:05,419,100,1_fr,steph,1_yes_internet,0_none_first,2_most_today,201,3,5,,5,3,5,67,40,60,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False
r_119x0d7qwlhnstd,2024-02-02 12:33:36,209,100,5_gr,steph,1_yes_internet,1_some_first,3_all_today,405,1,1,,1,1,1,405,405,100,False,False,False,True,False,False,True,True,False,False,False,True,True,False,True,True,True,False,True,True,False,False
r_11ocss9gbu0wqp1,2024-01-25 16:40:16,300,100,5_gr,dist,1_yes_internet,3_all_first,3_all_today,139,3,3,,3,3,3,46,46,100,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
r_11ozcpdj4lk4vsd,2024-01-23 15:44:08,174,100,3_jr,steph,1_yes_internet,0_none_first,3_all_today,244,4,5,,5,4,5,61,49,80,False,False,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,False,False,True
r_11r9vyb9qgtdjr2,2024-01-26 14:35:11,110,100,3_jr,steph,1_yes_internet,1_some_first,3_all_today,1054,6,6,,,6,6,176,176,100,False,False,False,True,False,False,True,True,False,True,False,False,True,False,True,True,False,False,True,True,False,True
r_11vmfrri1cglk4t,2024-01-27 20:48:24,243,100,4_sr,ftw,1_yes_internet,3_all_first,3_all_today,120,3,3,,3,3,3,40,40,100,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
r_11xqpavcu5tnezi,2024-01-23 19:54:41,294,100,1_fr,steph,1_yes_internet,1_some_first,2_most_today,349,5,5,,5,5,5,70,70,100,False,False,False,True,False,False,True,True,True,True,False,False,True,False,False,True,False,True,True,True,False,False
r_11xzpjynu1lodzj,2024-01-25 11:27:07,249,100,2_so,dist,1_yes_internet,3_all_first,3_all_today,204,2,2,,2,2,2,102,102,100,False,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
r_11yustfhlo8bdfk,2024-01-27 17:38:18,240,100,4_sr,steph,1_yes_internet,2_most_first,3_all_today,300,3,4,,4,3,4,100,75,75,False,False,False,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False
r_11zqvm3kjzjowmq,2024-01-30 08:07:06,70,100,2_so,steph,1_yes_internet,0_none_first,1_some_today,,1,4,,,1,4,,,25,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
r_123wttsvc5a5i8q,2024-01-24 11:21:29,332,100,3_jr,steph,1_yes_internet,0_none_first,3_all_today,300,4,4,,4,4,4,75,75,100,False,False,False,True,False,False,True,True,True,False,False,False,True,False,False,True,False,True,True,True,False,True
r_129ytz2lqbtraph,2024-01-30 19:54:00,134,26,1_fr,steph,1_yes_internet,,,,5,5,,,5,5,,,100,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
r_12e9oig3tswwa1l,2024-01-30 18:44:47,146,48,4_sr,steph,0_no_internet,1_some_first,2_most_today,410,5,5,,,5,5,82,82,100,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False
r_12pnjhanym5w0sj,2024-01-24 09:25:50,240,100,1_fr,steph,1_yes_internet,1_some_first,3_all_today,204,3,5,,5,3,5,68,41,60,False,False,False,True,False,False,True,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False
r_12q0vldoissiwrc,2024-01-23 15:35:35,76,100,4_sr,steph,1_yes_internet,0_none_first,1_some_today,180,2,5,,,2,5,90,36,40,False,False,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,True,True,True,False,False
r_12sg7giqloffbwr,2024-01-26 18:08:13,325,100,4_sr,steph,1_yes_internet,1_some_first,2_most_today,296,2,4,,4,2,4,148,74,50,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False,False,True,True,False,True
r_12xljotxxv1zihv,2024-01-24 08:58:40,77,100,0_hs,dist,0_no_internet,,,,0,1,,,0,1,,,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
r_12yl4usk0ng5yhz,2024-01-24 01:38:40,115,100,4_sr,waco,1_yes_internet,0_none_first,1_some_today,584,4,4,,,4,4,146,146,100,False,False,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,False,True
r_13dqocmwk9wadak,2024-01-24 13:50:40,723,100,1_fr,steph,1_yes_internet,0_none_first,1_some_today,271,3,6,,6,3,6,90,45,50,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,True,False,True,True,True,False,False
r_13uzsivohi7f1dv,2024-01-24 15:37:19,70,100,5_gr,steph,1_yes_internet,3_all_first,3_all_today,201,2,2,,,2,2,100,100,100,False,False,False,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
r_14irv72f2apnqdy,2024-01-23 17:16:51,198,100,5_gr,dist,1_yes_internet,2_most_first,3_all_today,74,1,1,,1,1,1,74,74,100,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
r_14wss4plrmepdtj,2024-01-24 18:53:29,256,100,5_gr,dist,1_yes_internet,0_none_first,3_all_today,456,4,4,,4,4,4,114,114,100,False,True,False,False,False,True,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False
r_151qlg5cieimnaz,2024-01-28 16:44:54,627,100,5_gr,ftw,1_yes_internet,0_none_first,1_some_today,161,2,2,,2,2,2,80,80,100,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True
r_15ryn2bpmatqhwi,2024-01-27 10:05:44,244,100,3_jr,steph,1_yes_internet,2_most_first,2_most_today,113,2,2,,2,2,2,56,56,100,False,False,False,True,False,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False
r_15sd38alv04elaf,2024-01-24 12:40:00,442,100,3_jr,dist,1_yes_internet,2_most_first,3_all_today,334,3,4,,4,3,4,111,84,75,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False
r_165xxkn0irt1nbh,2024-01-24 23:30:02,359,100,4_sr,ftw,1_yes_internet,3_all_first,3_all_today,64,1,2,,2,1,2,64,32,50,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False
r_16ezxbg8onvaj1c,2024-01-31 11:45:27,175,48,4_sr,waco,1_yes_internet,2_most_first,3_all_today,300,4,5,,2,4,5,75,60,80,False,False,False,False,True,False,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False
r_16zojtao22wxm0x,2024-01-25 13:47:55,396,100,2_so,steph,1_yes_internet,2_most_first,3_all_today,450,4,7,,7,4,7,112,64,57,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
r_17eatysevll6mue,2024-01-31 12:19:08,235,100,3_jr,bryan,1_yes_internet,1_some_first,2_most_today,322,4,4,,4,4,4,80,80,100,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
r_17sbrimvhybew6q,2024-01-31 11:28:36,91,48,3_jr,steph,1_yes_internet,0_none_first,3_all_today,300,6,6,,1,6,6,50,50,100,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
r_18nyqyxsaoie65r,2024-02-02 08:43:18,85,48,4_sr,dist,1_yes_internet,0_none_first,3_all_today,150,6,6,,,6,6,25,25,100,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
r_18xhyetlkhcviwe,2024-02-01 17:18:51,71,100,0_other,steph,0_no_internet,1_some_first,3_all_today,145,3,3,,,3,3,48,48,100,False,False,False,True,False,True,True,True,False,False,False,False,True,True,True,False,False,False,True,False,False,False
r_196vszuxjdcm7dm,2024-01-27 11:19:29,234,100,3_jr,waco,0_no_internet,1_some_first,3_all_today,217,3,3,,3,3,3,72,72,100,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
r_1a1qlwpcp71hdcp,2024-01-30 17:52:14,188,48,1_fr,steph,0_no_internet,3_all_first,1_some_today,351,2,7,,2,2,7,176,50,29,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
r_1accvapkk7yvdsb,2024-01-24 12:56:51,285,100,1_fr,steph,1_yes_internet,0_none_first,1_some_today,354,3,4,,4,3,4,118,88,75,False,False,False,True,False,False,True,True,False,True,True,False,True,False,False,True,False,False,True,False,False,False
r_1aeyaiibmouxi6v,2024-01-31 12:12:18,87,26,1_fr,steph,1_yes_internet,,,,3,6,,,3,6,,,50,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
r_1aqztpd6iidoea5,2024-01-23 20:58:01,326,100,5_gr,dist,1_yes_internet,0_none_first,3_all_today,99,2,2,,2,2,2,50,50,100,False,True,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False
r_1b9hggmnggjhk6l,2024-01-24 13:55:08,39,100,0_hs,dist,1_yes_internet,,,,0,1,,,0,1,,,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
r_1bap8u0qhawyoy7,2024-01-24 18:37:40,272,100,5_gr,steph,1_yes_internet,0_none_first,3_all_today,273,2,2,,2,2,2,136,136,100,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
r_1byzz2eibtuba3v,2024-01-23 21:52:40,67,100,1_fr,steph,1_yes_internet,3_all_first,3_all_today,64,1,5,,,1,5,64,13,20,False,False,False,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False
r_1c5pkzpwxukc5m9,2024-01-24 14:10:48,12218,100,5_gr,ftw,1_yes_internet,0_none_first,1_some_today,349,6,4,,4,6,6,58,58,100,False,False,True,False,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False
r_1c6ih4xfapwsfh3,2024-01-29 19:47:30,19781,100,2_so,steph,1_yes_internet,0_none_first,3_all_today,340,3,5,,5,3,5,113,68,60,False,False,False,True,False,False,True,True,True,True,False,True,True,False,False,True,False,False,True,False,True,False
